İlan no,Son Güncelleme Tarihi,Konut Tipi,Oda + Salon Sayısı,Brüt / Net M2,Bulunduğu Kat,Bina Yaşı,Isınma Tipi,Kat Sayısı,Krediye Uygunluk,Eşya Durumu,Banyo Sayısı,Yapı Tipi,Yapının Durumu,Kullanım Durumu,Tapu Durumu,Aidat,Takas,Cephe,Kira Getirisi,Yakıt Tipi,Ada No,Parsel No,Yetkili Ofis,city,district,price
7000-4440,24-10-2024,Daire,4 + 1,179 m2 / 165 m2,1. Kat,16 Yaşında,Kombi,6 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracılı,Kat Mülkiyeti,2.300 TL,Hayır,"Kuzey, Batı",25.000 TL,Doğalgaz,46460,1,Evet,Ankara,Etimesgut,7.000.000 TL
150882-3,26-10-2024,Daire,3 + 1,125 m2 / 118 m2,6. Kat,12 Yaşında,Merkezi (Pay Ölçer),11 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,870 TL,Hayır,Güney,,Doğalgaz,,,Evet,Ankara,Etimesgut,2.799.000 TL
2545-8110,30-10-2024,Daire,3 + 1,125 m2 / 120 m2,2. Kat,15 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Mülk Sahibi,Kat Mülkiyeti,,Hayır,"Güney, Doğu",,Doğalgaz,,,Evet,Ankara,Pursaklar,3.250.000 TL
2545-8004,30-10-2024,Daire,3 + 1,120 m2 / 115 m2,Yüksek Giriş,10 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,,Hayır,Doğu,,Doğalgaz,,,,Ankara,Pursaklar,2.490.000 TL
110538-3363,10-10-2024,Daire,3 + 1,150 m2 / 137 m2,8. Kat,10 Yaşında,Merkezi (Pay Ölçer),29 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Mülk Sahibi,Kat Mülkiyeti,2.150 TL,,"Güney, Doğu",,Doğalgaz,63932,2,Evet,Ankara,Etimesgut,8.000.000 TL
110538-3369,25-10-2024,Daire,2 + 1,105 m2 / 80 m2,Bahçe Katı,12 Yaşında,Kombi,7 Katlı,Uygun değil,Eşyalı,2,Betonarme,İkinci El,Boş,Kat Mülkiyeti,150 TL,Evet,Güney,,Doğalgaz,,,Evet,Ankara,Etimesgut,1.675.000 TL
56586-3879,30-10-2024,Daire,3 + 1,145 m2 / 135 m2,1. Kat,9 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Mülk Sahibi,Kat Mülkiyeti,,Hayır,"Güney, Batı",,Doğalgaz,,,Evet,Ankara,Keçiören,3.175.000 TL
141761-799,22-10-2024,Daire,3 + 1,165 m2 / 150 m2,3. Kat,4 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,2,,İkinci El,Mülk Sahibi,Kat Mülkiyeti,250 TL,,"Kuzey, Güney, Batı",,,,,Evet,Ankara,Etimesgut,4.100.000 TL
14072-13195,29-10-2024,Daire,3 + 1,110 m2 / 100 m2,Giriş Katı,28 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,Sıfır,Boş,Kat Mülkiyeti,100 TL,Hayır,"Güney, Doğu",25.000 TL,Doğalgaz,,,Evet,Ankara,Çankaya,3.570.000 TL
4180-9064,28-10-2024,Daire,3 + 1,120 m2 / 100 m2,1. Kat,Sıfır Bina,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,Sıfır,Boş,Kat Mülkiyeti,100 TL,Evet,"Güney, Doğu",20.000 TL,Doğalgaz,101,58,Evet,Ankara,Çankaya,4.250.000 TL
