İlan no,Son Güncelleme Tarihi,Konut Tipi,Oda + Salon Sayısı,Brüt / Net M2,Bulunduğu Kat,Bina Yaşı,Isınma Tipi,Kat Sayısı,Krediye Uygunluk,Eşya Durumu,Banyo Sayısı,Yapı Tipi,Yapının Durumu,Kullanım Durumu,Tapu Durumu,Aidat,Takas,Cephe,Kira Getirisi,Yakıt Tipi,Ada No,Parsel No,Yetkili Ofis,city,district,price
7000-4440,24-10-2024,Daire,4 + 1,179 m2 / 165 m2,1. Kat,16 Yaşında,Kombi,6 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracılı,Kat Mülkiyeti,2.300 TL,Hayır,"Kuzey, Batı",25.000 TL,Doğalgaz,46460,1,Evet,Ankara,Etimesgut,7.000.000 TL
86972-2293,30-10-2024,Daire,5 + 1,300 m2 / 250 m2,10. Kat,8 Yaşında,Merkezi (Pay Ölçer),12 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Mülk Sahibi,Kat Mülkiyeti,1.250 TL,Evet,"Güney, Doğu, Batı",46 TL,Doğalgaz,,,Evet,Ankara,Etimesgut,8.900.000 TL
86972-2248,30-10-2024,Daire,4 + 1,190 m2 / 175 m2,8. Kat,5 Yaşında,Merkezi (Pay Ölçer),9 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Mülk Sahibi,Kat Mülkiyeti,900 TL,Evet,"Kuzey, Doğu, Batı",30.000 TL,Doğalgaz,,,Evet,Ankara,Etimesgut,7.675.000 TL
110538-3355,27-10-2024,Daire,3 + 1,110 m2 / 86 m2,1. Kat,14 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,,İkinci El,Mülk Sahibi,Kat Mülkiyeti,,,"Kuzey, Doğu, Batı",,,159,12,Evet,Ankara,Sincan,2.500.000 TL
110538-3294,21-10-2024,Daire,4 + 1,196 m2 / 175 m2,9. Kat,2 Yaşında,Merkezi (Pay Ölçer),26 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Mülk Sahibi,Kat Mülkiyeti,2.200 TL,Hayır,"Kuzey, Batı",,Doğalgaz,,,Evet,Ankara,Etimesgut,11.500.000 TL
141761-615,14-10-2024,Daire,4 + 1,200 m2 / 180 m2,5. Kat,18 Yaşında,Merkezi (Pay Ölçer),13 Katlı,Uygun,Eşyalı Değil,2,,İkinci El,Mülk Sahibi,,,Hayır,"Kuzey, Batı",,Doğalgaz,,,Evet,Ankara,Etimesgut,11.000.000 TL
31522-14665,30-10-2024,Daire,2 + 1,90 m2 / 80 m2,Giriş Katı,4 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,Sıfır,Boş,Kat Mülkiyeti,100 TL,Evet,"Güney, Doğu, Batı",25.000 TL,Doğalgaz,,,Evet,Ankara,Keçiören,3.390.000 TL
5784-2302,30-10-2024,Daire,3 + 1,100 m2 / 90 m2,Yüksek Giriş,35 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Kagir,İkinci El,Boş,Kat Mülkiyeti,,Hayır,,30.000 TL,Doğalgaz,,,Evet,Ankara,Çankaya,4.300.000 TL
64798-1090,28-10-2024,Daire,2 + 1,115 m2 / 100 m2,Bahçe Katı,25 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,100 TL,Evet,"Güney, Doğu, Batı",15.000 TL,Doğalgaz,11111,11,Evet,Ankara,Keçiören,2.099.000 TL
5116-1539,28-10-2024,Daire,4 + 1,200 m2 / 180 m2,3. Kat,3 Yaşında,Merkezi (Pay Ölçer),17 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Mülk Sahibi,Kat Mülkiyeti,,Evet,"Güney, Doğu",35.000 TL,Doğalgaz,,,Evet,Ankara,Keçiören,6.650.000 TL
